epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93937,1.92715,5.95669,1.54315,0.2,0.08333,0.0625,0.03231,1.89572,7.59262,1.7008,0,0,0
2,6.12391,2.04562,5.93248,1.75705,0.1547,0.21667,0.1483,0.08861,1.83687,6.58302,1.61898,1.33693e-05,1.33693e-05,1.33693e-05
3,9.03109,2.04217,5.73515,1.62677,0.41709,0.125,0.16474,0.0977,1.61765,5.41496,1.48636,2.01374e-05,2.01374e-05,2.01374e-05
4,11.8885,1.87421,4.44742,1.51636,0.38791,0.14652,0.16848,0.09945,1.62345,4.49238,1.33624,2.03041e-05,2.03041e-05,2.03041e-05
5,14.7745,1.61045,5.03469,1.62284,0.37972,0.16667,0.17186,0.10116,1.55754,4.06584,1.30134,1.38694e-05,1.38694e-05,1.38694e-05
