epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.2072,1.23914,2.86788,1.15588,0.02511,0.62226,0.33156,0.2364,0.89705,3.37217,0.99495,0.00040008,0.00040008,0.00040008
2,202.555,1.13989,1.89683,1.07303,0.05192,0.70647,0.45845,0.30958,0.98298,3.09783,0.99141,0.000655098,0.000655098,0.000655098
3,314.137,1.09886,1.68333,1.06297,0.86834,0.36472,0.64886,0.46453,0.97317,2.57553,0.97644,0.000745082,0.000745082,0.000745082
4,418.764,1.08893,1.51725,1.06422,0.90536,0.5725,0.77199,0.59084,0.88184,2.04828,0.95093,0.000670034,0.000670034,0.000670034
5,519.479,1.04242,1.40731,1.03992,0.79509,0.67226,0.80195,0.61465,0.90284,1.58845,0.98095,0.000346736,0.000346736,0.000346736
